,year,rating,age,rating_avg,pages,ratings_count,reviews_count,lang_en-CA,lang_en-GB,lang_en-US,lang_eng,lang_enm,lang_fre,lang_ger,lang_lat,lang_mul,lang_rus,lang_spa,region_africa,region_central_south_america,region_east_asia,region_europe,region_middle_east,region_north_america_british,region_south_asia,predict_cluster_kmeans
0,1998,0.0,49,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1,1998,0.0,29,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2,1998,0.0,36,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
3,1998,0.0,56,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
4,1998,0.0,42,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
5,1998,0.0,52,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
6,1998,0.0,42,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
7,1998,0.0,57,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,1998,9.0,25,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
9,1998,10.0,47,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
10,1998,0.0,45,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
11,1998,0.0,51,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
12,1998,0.0,37,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
13,1998,0.0,38,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
14,1998,0.0,28,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
15,1998,0.0,28,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
16,1998,7.0,24,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
17,1998,0.0,37,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
18,1998,0.0,54,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
19,1998,0.0,26,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
20,1998,0.0,29,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
21,1998,0.0,43,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
22,1998,10.0,35,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
23,1998,8.0,43,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
24,1998,0.0,29,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
25,1998,8.0,31,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
26,1998,0.0,34,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
27,1998,8.0,39,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
28,1998,0.0,36,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
29,1998,0.0,42,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
30,1998,6.0,31,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
31,1998,0.0,42,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
32,1998,8.0,31,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
33,1998,0.0,61,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
34,1998,8.0,39,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
35,1998,0.0,33,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
36,1998,0.0,27,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
37,1998,7.0,33,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
38,1998,0.0,25,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
39,1998,9.0,44,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
40,1998,0.0,9,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
41,1998,10.0,39,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
42,1998,0.0,33,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
43,1998,0.0,52,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
44,1998,0.0,40,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
45,1998,8.0,38,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
46,1998,0.0,30,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
47,1998,0.0,37,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
48,1998,0.0,28,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
49,1998,0.0,65,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
50,1998,0.0,47,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
51,1998,0.0,46,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
52,1998,0.0,25,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
53,1998,10.0,24,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
54,1998,0.0,32,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
55,1998,0.0,22,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
56,1998,0.0,32,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
57,1998,0.0,32,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
58,1998,0.0,21,3.88,465,294348,9096,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
