,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_bsl_options,param_k,param_sim_options
0,1.7674407661507894,1.7820650637984432,1.7751033063318309,1.7748697120936878,0.005972628964582991,186,1.327541197066659,1.3391270550904484,1.325365246035106,1.3306778327307376,0.006040182645461647,217,0.8013360500335693,0.015515332671934511,0.4171133836110433,0.011230560466902512,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': True}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'cosine', 'min_support': 1, 'user_based': True}"
1,1.7322242985629699,1.7350802578140543,1.7390800433891516,1.7354615332553918,0.0028118010244983084,129,1.2913030645341907,1.2959696704982304,1.295773469925751,1.2943487349860574,0.0021551032523122932,96,0.29426201184590656,0.018205935894334467,0.3063676357269287,0.053522170285962345,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'cosine', 'min_support': 1, 'user_based': False}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'cosine', 'min_support': 1, 'user_based': False}"
2,1.8070578793796364,1.8211378051868208,1.82813310416353,1.8187762629099957,0.00876447132335376,251,1.3515082549277235,1.3451433186070525,1.3576423900269503,1.3514313211872422,0.00510301451368012,251,0.4060970147450765,0.08595740626371456,0.40664203961690265,0.038260787616497205,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': True}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'cosine', 'min_support': 3, 'user_based': True}"
3,1.7237833950125494,1.7393707592478769,1.7329632296788589,1.7320391279797616,0.006396976051953358,116,1.2939630330528897,1.2986400552894695,1.300495019815153,1.2976993693858374,0.002748378945556184,133,0.09830713272094727,0.008630852318902057,0.27038367589314777,0.01587921129429381,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'cosine', 'min_support': 3, 'user_based': False}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'cosine', 'min_support': 3, 'user_based': False}"
4,1.7634036589059374,1.7945544435076213,1.7753110763791555,1.7777563929309048,0.012834264687515733,190,1.3183635006298429,1.3409878629275045,1.320051527949742,1.326467630502363,0.01029045581492147,207,0.30859804153442383,0.009363104308555317,0.4630686442057292,0.052258151204732484,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': True}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'msd', 'min_support': 1, 'user_based': True}"
5,1.7384387898665274,1.7373359966615296,1.74375091481287,1.7398419004469758,0.002800515809373171,148,1.2861160210050775,1.2916731357570093,1.292725405527937,1.2901715207633413,0.0028996697093128733,68,0.0657028357187907,0.0003471796048890023,0.2984294096628825,0.01938626646956136,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'msd', 'min_support': 1, 'user_based': False}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'msd', 'min_support': 1, 'user_based': False}"
6,1.8121068562559257,1.824271035888395,1.8313808257697135,1.822586239304678,0.007958240167733204,255,1.3524209800396207,1.3454969303768551,1.3589811459601047,1.35229968545886,0.005505576067671681,254,0.26645739873250324,0.007259760054695378,0.4070909818013509,0.032996081442987726,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': True}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'msd', 'min_support': 3, 'user_based': True}"
7,1.73042526850261,1.743807544074909,1.7359244718786815,1.7367190948187334,0.005492109132557378,140,1.2963328154918925,1.2987181740757412,1.3003464382595715,1.298465809275735,0.0016482430897816537,139,0.06966614723205566,0.005696220455051226,0.29619765281677246,0.051826977995800515,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'msd', 'min_support': 3, 'user_based': False}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'msd', 'min_support': 3, 'user_based': False}"
8,1.776364023257506,1.7806091139224252,1.786476252678565,1.7811497966194987,0.004145965854515972,208,1.3236709678323406,1.3161049328543866,1.3214913749959805,1.3204224252275691,0.0031799592793457674,197,0.9136192003885905,0.011314283740790345,0.43657223383585614,0.04172548621701412,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'pearson', 'min_support': 1, 'user_based': True}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'pearson', 'min_support': 1, 'user_based': True}"
9,1.7268177908929396,1.7423091236533435,1.7336697536812922,1.7342655560758586,0.0063383269634511765,126,1.2883353921587926,1.3047383402948176,1.2947175237795938,1.2959304187444014,0.006751173356537046,103,0.35536805788675946,0.013763317249108505,0.2877356211344401,0.04720035434213553,"{'bsl_options': {'method': 'als', 'n_epochs': 10}, 'k': 3, 'sim_options': {'name': 'pearson', 'min_support': 1, 'user_based': False}}","{'method': 'als', 'n_epochs': 10}",3,"{'name': 'pearson', 'min_support': 1, 'user_based': False}"
